team1,team1_bpi,team2,team2_bpi,team1_points,team2_points,points_difference,offensive_efficiency_team1,offensive_efficiency_team2,offensive_efficiency_difference,defensive_efficiency_team1,defensive_efficiency_team2,defensive_efficiency_difference,team1_tempo,team2_tempo,tempo_difference,team1_efgpct,team2_efgpct,efgpct_difference,team1_experience,team2_experience,experience_difference,team1_rating,team2_rating,rating_difference,team1_winner,team2_winner
Texas Tech Red Raiders,8,BYU Cougars,24,72,67,5,124.30,123.50,0.80,96.70,101.20,4.50,65.85,67.28,1.43,55.64,57.79,2.16,2.67,1.92,0.75,27.6,22.3,5.3,1,0
St. John's Red Storm,17,Xavier Musketeers,40,82,72,10,113.90,114.90,1.00,89.20,98.30,9.10,70.11,69.20,0.91,49.54,53.57,4.03,2.36,3.54,1.18,24.7,16.6,8.1,1,0
Pittsburgh Panthers,50,Duke Blue Devils,1,47,76,29,117.20,128.90,11.70,103.10,89.80,13.30,66.31,66.06,0.25,52.53,57.66,5.14,2.72,1.93,0.79,14.1,39.1,25,0,1
Arizona Wildcats,10,West Virginia Mountaineers,48,87,97,10,120.20,110.20,10.00,95.00,94.60,0.40,70.28,64.38,5.90,52.14,49.97,2.17,2.72,2.14,0.58,25.2,15.6,9.6,0,1
Utah Utes,58,Iowa State Cyclones,62,59,82,23,113.60,119.50,5.90,102.00,93.10,8.90,68.82,68.94,0.12,52.58,54.22,1.64,2.04,2.82,0.78,11.6,26.4,14.8,0,1
Cincinnati Bearcats,38,Baylor Bears,21,48,68,20,112.60,121.10,8.50,96.50,100.80,4.30,65.54,65.38,0.16,51.79,52.05,0.26,2.21,2.72,0.51,16.1,20.3,4.2,0,1
Mississippi State Bulldogs,36,Vanderbilt Commodores,55,76,64,12,119.10,119.90,0.80,98.70,102.10,3.40,67.92,69.40,1.48,51.98,52.27,0.30,2.27,2.39,0.12,20.4,17.8,2.6,1,0
Auburn Tigers,3,Texas Longhorns,34,87,82,5,130.70,116.70,14.00,93.10,100.70,7.60,68.56,67.42,1.15,56.05,52.90,3.15,2.79,2.85,0.06,37.6,16,21.6,1,0
SMU Mustangs,44,North Carolina Tar Heels,27,67,82,15,118.70,119.20,0.50,102.10,102.00,0.10,69.10,70.94,1.84,55.08,54.26,0.82,2.76,2.24,0.52,16.6,17.2,0.6,0,1
Michigan Wolverines,33,UCLA Bruins,26,94,75,19,117.10,116.50,0.60,96.00,95.00,1.00,69.84,64.91,4.93,55.62,52.94,2.68,2.24,2.23,0.01,21.1,21.5,0.4,1,0
USC Trojans,60,Indiana Hoosiers,52,69,82,13,116.70,115.40,1.30,104.20,98.80,5.40,68.62,68.38,0.24,54.22,52.13,2.09,2.53,2.27,0.26,12.5,16.6,4.1,0,1
Texas A&M Aggies,23,Oklahoma Sooners,51,80,78,2,115.90,118.40,2.50,93.00,101.80,8.80,66.77,68.74,1.96,47.60,54.78,7.18,2.97,2.31,0.66,22.9,16.6,6.3,1,0
Penn State Nittany Lions,59,Illinois Fighting Illini,22,52,91,39,114.70,121.90,7.20,102.20,97.70,4.50,70.01,71.57,1.56,53.68,52.13,1.56,2.49,1.07,1.42,12.5,24.2,11.7,0,1
Oregon Ducks,37,Ohio State Buckeyes,35,73,71,2,117.80,118.10,0.30,98.20,98.60,0.40,68.10,67.51,0.59,52.36,53.70,1.34,2.69,2.16,0.53,19.6,19.5,0.1,1,0
UCLA Bruins,26,Maryland Terrapins,15,61,79,18,116.50,118.50,2.00,95.00,93.70,1.30,64.91,70.08,5.17,52.94,54.50,1.56,2.23,2.14,0.09,21.5,24.8,3.3,0,1
USC Trojans,60,Illinois Fighting Illini,22,82,72,10,116.70,121.90,5.20,104.20,97.70,6.50,68.62,71.57,2.95,54.22,52.13,2.09,2.53,1.07,1.46,12.5,24.2,11.7,1,0
Louisville Cardinals,30,Pittsburgh Panthers,50,82,78,4,118.90,117.20,1.70,96.40,103.10,6.70,69.15,66.31,2.83,53.55,52.53,1.02,3.17,2.72,0.46,22.5,14.1,8.4,1,0
San Diego State Aztecs,54,New Mexico Lobos,49,48,62,14,110.60,113.70,3.10,93.80,96.60,2.80,66.05,73.34,7.28,50.54,51.25,0.71,1.52,2.45,0.92,16.8,17.1,0.3,0,1
Kansas Jayhawks,11,Cincinnati Bearcats,38,54,40,14,115.40,112.60,2.80,92.20,96.50,4.30,68.76,65.54,3.22,53.14,51.79,1.34,3.62,2.21,1.41,23.2,16.1,7.1,1,0
BYU Cougars,24,TCU Horned Frogs,63,67,71,4,123.50,107.10,16.40,101.20,97.40,3.80,67.28,66.93,0.35,57.79,47.58,10.21,1.92,1.94,0.02,22.3,9.7,12.6,0,1
Vanderbilt Commodores,55,Missouri Tigers,28,66,75,9,119.90,126.20,6.30,102.10,100.40,1.70,69.40,68.31,1.09,52.27,56.80,4.52,2.39,2.64,0.25,17.8,25.8,8,0,1
Florida Gators,6,Arkansas Razorbacks,43,71,63,8,126.90,111.80,15.10,93.00,95.00,2.00,69.49,69.16,0.33,54.40,52.28,2.12,2.41,1.54,0.88,33.9,16.8,17.1,1,0
Houston Cougars,2,Kansas State Wildcats,64,87,57,30,124.90,111.60,13.30,89.50,99.40,9.90,61.18,67.53,6.35,53.21,51.30,1.90,2.63,2.55,0.08,35.4,12.2,23.2,1,0
Tennessee Volunteers,4,Texas Longhorns,34,74,70,4,118.60,116.70,1.90,87.20,100.70,13.50,63.93,67.42,3.49,52.49,52.90,0.41,2.92,2.85,0.08,31.4,16,15.4,1,0
Oklahoma Sooners,51,Georgia Bulldogs,39,62,72,10,118.40,115.50,2.90,101.80,96.60,5.20,68.74,66.79,1.94,54.78,52.49,2.29,2.31,1.87,0.45,16.6,18.9,2.3,0,1
Alabama Crimson Tide,5,Texas A&M Aggies,23,94,88,6,127.30,115.90,11.40,97.90,93.00,4.90,75.00,66.77,8.23,56.57,47.60,8.97,2.99,2.97,0.02,29.4,22.9,6.5,1,0
Indiana Hoosiers,52,Iowa Hawkeyes,7,60,85,25,115.40,118.10,2.70,98.80,107.00,8.20,68.38,70.01,1.63,52.13,56.34,4.21,2.27,1.77,0.49,16.6,11.1,5.5,0,1
Kentucky Wildcats,14,Mississippi State Bulldogs,36,95,90,5,125.30,119.10,6.20,100.90,98.70,2.20,70.82,67.92,2.90,56.17,51.98,4.20,3.09,2.27,0.81,24.4,20.4,4,1,0
Boise State Broncos,47,Utah State Aggies,45,79,81,2,116.70,121.00,4.30,100.30,106.30,6.00,65.93,68.15,2.22,52.91,56.16,3.25,2.13,2.16,0.03,16.4,14.7,1.7,0,1
Creighton Bluejays,25,Butler Bulldogs,61,80,76,4,116.10,116.70,0.60,98.00,105.20,7.20,68.00,67.87,0.12,55.36,53.25,2.11,2.65,2.89,0.24,18.1,11.5,6.6,1,0
Iowa State Cyclones,62,Texas Tech Red Raiders,8,85,84,1,119.50,124.30,4.80,93.10,96.70,3.60,68.94,65.85,3.09,54.22,55.64,1.42,2.82,2.67,0.15,26.4,27.6,1.2,1,0
Villanova Wildcats,41,St. John's Red Storm,17,68,80,12,119.70,113.90,5.80,104.60,89.20,15.40,63.20,70.11,6.91,55.41,49.54,5.87,2.87,2.36,0.52,15.1,24.7,9.6,0,1
Nebraska Cornhuskers,53,Purdue Boilermakers,16,68,104,36,113.20,124.10,10.90,97.60,99.50,1.90,67.55,65.39,2.16,51.57,56.57,5.00,2.79,1.73,1.05,15.6,24.6,9,0,1
Oregon Ducks,37,Penn State Nittany Lions,59,82,81,1,117.80,114.70,3.10,98.20,102.20,4.00,68.10,70.01,1.91,52.36,53.68,1.32,2.69,2.49,0.21,19.6,12.5,7.1,1,0
Michigan State Spartans,12,Northwestern Wildcats,46,78,68,10,118.10,115.00,3.10,91.20,98.40,7.20,67.80,64.86,2.94,50.96,50.09,0.87,1.62,2.28,0.67,26.9,16.6,10.3,1,0
Villanova Wildcats,41,Xavier Musketeers,40,63,69,6,119.70,114.90,4.80,104.60,98.30,6.30,63.20,69.20,6.00,55.41,53.57,1.84,2.87,3.54,0.66,15.1,16.6,1.5,0,1
Texas Tech Red Raiders,8,Kansas State Wildcats,64,61,57,4,124.30,111.60,12.70,96.70,99.40,2.70,65.85,67.53,1.68,55.64,51.30,4.33,2.67,2.55,0.12,27.6,12.2,15.4,1,0
Iowa Hawkeyes,7,USC Trojans,60,89,99,10,118.10,116.70,1.40,107.00,104.20,2.80,70.01,68.62,1.39,56.34,54.22,2.12,1.77,2.53,0.76,11.1,12.5,1.4,0,1
Baylor Bears,21,Arizona Wildcats,10,70,81,11,121.10,120.20,0.90,100.80,95.00,5.80,65.38,70.28,4.90,52.05,52.14,0.09,2.72,2.72,0.00,20.3,25.2,4.9,0,1
Texas A&M Aggies,23,Kentucky Wildcats,14,69,81,12,115.90,125.30,9.40,93.00,100.90,7.90,66.77,70.82,4.05,47.60,56.17,8.57,2.97,3.09,0.12,22.9,24.4,1.5,0,1
Mississippi State Bulldogs,36,Auburn Tigers,3,66,88,22,119.10,130.70,11.60,98.70,93.10,5.60,67.92,68.56,0.65,51.98,56.05,4.07,2.27,2.79,0.52,20.4,37.6,17.2,0,1
Illinois Fighting Illini,22,Indiana Hoosiers,52,94,69,25,121.90,115.40,6.50,97.70,98.80,1.10,71.57,68.38,3.19,52.13,52.13,0.00,1.07,2.27,1.19,24.2,16.6,7.6,1,0
Missouri Tigers,28,Florida Gators,6,83,82,1,126.20,126.90,0.70,100.40,93.00,7.40,68.31,69.49,1.17,56.80,54.40,2.40,2.64,2.41,0.23,25.8,33.9,8.1,1,0
Ohio State Buckeyes,35,Wisconsin Badgers,19,68,70,2,118.10,124.00,5.90,98.60,97.30,1.30,67.51,67.70,0.19,53.70,54.95,1.25,2.16,2.62,0.46,19.5,26.7,7.2,0,1
Utah Utes,58,TCU Horned Frogs,63,73,65,8,113.60,107.10,6.50,102.00,97.40,4.60,68.82,66.93,1.89,52.58,47.58,5.00,2.04,1.94,0.10,11.6,9.7,1.9,1,0
Georgia Bulldogs,39,Tennessee Volunteers,4,56,74,18,115.50,118.60,3.10,96.60,87.20,9.40,66.79,63.93,2.86,52.49,52.49,0.00,1.87,2.92,1.06,18.9,31.4,12.5,0,1
Texas Longhorns,34,Oklahoma Sooners,51,77,73,4,116.70,118.40,1.70,100.70,101.80,1.10,67.42,68.74,1.32,52.90,54.78,1.88,2.85,2.31,0.54,16,16.6,0.6,1,0
Kansas Jayhawks,11,Iowa State Cyclones,62,57,74,17,115.40,119.50,4.10,92.20,93.10,0.90,68.76,68.94,0.18,53.14,54.22,1.08,3.62,2.82,0.80,23.2,26.4,3.2,0,1
Penn State Nittany Lions,59,Michigan State Spartans,12,85,90,5,114.70,118.10,3.40,102.20,91.20,11.00,70.01,67.80,2.21,53.68,50.96,2.73,2.49,1.62,0.87,12.5,26.9,14.4,0,1
West Virginia Mountaineers,48,Houston Cougars,2,54,70,16,110.20,124.90,14.70,94.60,89.50,5.10,64.38,61.18,3.20,49.97,53.21,3.24,2.14,2.63,0.49,15.6,35.4,19.8,0,1
Maryland Terrapins,15,Northwestern Wildcats,46,74,76,2,118.50,115.00,3.50,93.70,98.40,4.70,70.08,64.86,5.22,54.50,50.09,4.42,2.14,2.28,0.14,24.8,16.6,8.2,0,1
Indiana Hoosiers,52,Ohio State Buckeyes,35,77,76,1,115.40,118.10,2.70,98.80,98.60,0.20,68.38,67.51,0.87,52.13,53.70,1.57,2.27,2.16,0.10,16.6,19.5,2.9,1,0
Iowa Hawkeyes,7,UCLA Bruins,26,70,94,24,118.10,116.50,1.60,107.00,95.00,12.00,70.01,64.91,5.10,56.34,52.94,3.40,1.77,2.23,0.46,11.1,21.5,10.4,0,1
Boise State Broncos,47,New Mexico Lobos,49,65,84,19,116.70,113.70,3.00,100.30,96.60,3.70,65.93,73.34,7.41,52.91,51.25,1.67,2.13,2.45,0.32,16.4,17.1,0.7,0,1
Alabama Crimson Tide,5,Kentucky Wildcats,14,102,97,5,127.30,125.30,2.00,97.90,100.90,3.00,75.00,70.82,4.18,56.57,56.17,0.40,2.99,3.09,0.10,29.4,24.4,5,1,0
Clemson Tigers,13,Pittsburgh Panthers,50,78,75,3,121.00,117.20,3.80,96.40,103.10,6.70,64.08,66.31,2.24,54.51,52.53,1.98,3.02,2.72,0.30,24.6,14.1,10.5,1,0
Kansas State Wildcats,64,Kansas Jayhawks,11,74,84,10,111.60,115.40,3.80,99.40,92.20,7.20,67.53,68.76,1.23,51.30,53.14,1.83,2.55,3.62,1.07,12.2,23.2,11,0,1
Xavier Musketeers,40,Marquette Golden Eagles,18,59,57,2,114.90,118.30,3.40,98.30,95.70,2.60,69.20,67.56,1.64,53.57,52.26,1.31,3.54,2.05,1.48,16.6,22.6,6,1,0
Arizona Wildcats,10,Texas Tech Red Raiders,8,54,70,16,120.20,124.30,4.10,95.00,96.70,1.70,70.28,65.85,4.43,52.14,55.64,3.50,2.72,2.67,0.05,25.2,27.6,2.4,0,1
Wisconsin Badgers,19,USC Trojans,60,84,69,15,124.00,116.70,7.30,97.30,104.20,6.90,67.70,68.62,0.92,54.95,54.22,0.73,2.62,2.53,0.09,26.7,12.5,14.2,1,0
Purdue Boilermakers,16,Oregon Ducks,37,65,58,7,124.10,117.80,6.30,99.50,98.20,1.30,65.39,68.10,2.71,56.57,52.36,4.20,1.73,2.69,0.96,24.6,19.6,5,1,0
Tennessee Volunteers,4,Vanderbilt Commodores,55,75,76,1,118.60,119.90,1.30,87.20,102.10,14.90,63.93,69.40,5.47,52.49,52.27,0.22,2.92,2.39,0.53,31.4,17.8,13.6,0,1
Iowa State Cyclones,62,West Virginia Mountaineers,48,57,64,7,119.50,110.20,9.30,93.10,94.60,1.50,68.94,64.38,4.56,54.22,49.97,4.25,2.82,2.14,0.68,26.4,15.6,10.8,0,1
BYU Cougars,24,Utah Utes,58,72,73,1,123.50,113.60,9.90,101.20,102.00,0.80,67.28,68.82,1.54,57.79,52.58,5.22,1.92,2.04,0.11,22.3,11.6,10.7,0,1
Auburn Tigers,3,Georgia Bulldogs,39,70,68,2,130.70,115.50,15.20,93.10,96.60,3.50,68.56,66.79,1.77,56.05,52.49,3.55,2.79,1.87,0.92,37.6,18.9,18.7,1,0
Texas Longhorns,34,Florida Gators,6,60,84,24,116.70,126.90,10.20,100.70,93.00,7.70,67.42,69.49,2.07,52.90,54.40,1.50,2.85,2.41,0.43,16,33.9,17.9,0,1
Arkansas Razorbacks,43,Missouri Tigers,28,65,83,18,111.80,126.20,14.40,95.00,100.40,5.40,69.16,68.31,0.85,52.28,56.80,4.52,1.54,2.64,1.10,16.8,25.8,9,0,1
Illinois Fighting Illini,22,Michigan State Spartans,12,78,80,2,121.90,118.10,3.80,97.70,91.20,6.50,71.57,67.80,3.77,52.13,50.96,1.17,1.07,1.62,0.54,24.2,26.9,2.7,0,1
Northwestern Wildcats,46,Michigan Wolverines,33,76,80,4,115.00,117.10,2.10,98.40,96.00,2.40,64.86,69.84,4.99,50.09,55.62,5.53,2.28,2.24,0.05,16.6,21.1,4.5,0,1
TCU Horned Frogs,63,Baylor Bears,21,74,71,3,107.10,121.10,14.00,97.40,100.80,3.40,66.93,65.38,1.55,47.58,52.05,4.47,1.94,2.72,0.78,9.7,20.3,10.6,1,0
Nebraska Cornhuskers,53,Maryland Terrapins,15,66,69,3,113.20,118.50,5.30,97.60,93.70,3.90,67.55,70.08,2.53,51.57,54.50,2.93,2.79,2.14,0.64,15.6,24.8,9.2,0,1
Vanderbilt Commodores,55,Alabama Crimson Tide,5,87,103,16,119.90,127.30,7.40,102.10,97.90,4.20,69.40,75.00,5.60,52.27,56.57,4.30,2.39,2.99,0.60,17.8,29.4,11.6,0,1
Mississippi State Bulldogs,36,Tennessee Volunteers,4,56,68,12,119.10,118.60,0.50,98.70,87.20,11.50,67.92,63.93,3.99,51.98,52.49,0.51,2.27,2.92,0.65,20.4,31.4,11,0,1
Texas Tech Red Raiders,8,Cincinnati Bearcats,38,81,71,10,124.30,112.60,11.70,96.70,96.50,0.20,65.85,65.54,0.31,55.64,51.79,3.85,2.67,2.21,0.46,27.6,16.1,11.5,1,0
Ohio State Buckeyes,35,Purdue Boilermakers,16,73,70,3,118.10,124.10,6.00,98.60,99.50,0.90,67.51,65.39,2.12,53.70,56.57,2.87,2.16,1.73,0.43,19.5,24.6,5.1,1,0
Missouri Tigers,28,Texas Longhorns,34,53,61,8,126.20,116.70,9.50,100.40,100.70,0.30,68.31,67.42,0.89,56.80,52.90,3.90,2.64,2.85,0.21,25.8,16,9.8,0,1
Louisville Cardinals,30,SMU Mustangs,44,98,73,25,118.90,118.70,0.20,96.40,102.10,5.70,69.15,69.10,0.04,53.55,55.08,1.53,3.17,2.76,0.41,22.5,16.6,5.9,1,0
Wisconsin Badgers,19,UCLA Bruins,26,83,85,2,124.00,116.50,7.50,97.30,95.00,2.30,67.70,64.91,2.79,54.95,52.94,2.01,2.62,2.23,0.39,26.7,21.5,5.2,0,1
Utah Utes,58,Houston Cougars,2,36,70,34,113.60,124.90,11.30,102.00,89.50,12.50,68.82,61.18,7.64,52.58,53.21,0.63,2.04,2.63,0.60,11.6,35.4,23.8,0,1
Xavier Musketeers,40,St. John's Red Storm,17,71,79,8,114.90,113.90,1.00,98.30,89.20,9.10,69.20,70.11,0.91,53.57,49.54,4.03,3.54,2.36,1.18,16.6,24.7,8.1,0,1
Indiana Hoosiers,52,Northwestern Wildcats,46,70,79,9,115.40,115.00,0.40,98.80,98.40,0.40,68.38,64.86,3.52,52.13,50.09,2.04,2.27,2.28,0.02,16.6,16.6,0,0,1
Kansas Jayhawks,11,TCU Horned Frogs,63,74,61,13,115.40,107.10,8.30,92.20,97.40,5.20,68.76,66.93,1.83,53.14,47.58,5.56,3.62,1.94,1.68,23.2,9.7,13.5,1,0
Georgia Bulldogs,39,Arkansas Razorbacks,43,65,68,3,115.50,111.80,3.70,96.60,95.00,1.60,66.79,69.16,2.37,52.49,52.28,0.21,1.87,1.54,0.33,18.9,16.8,2.1,0,1
Boise State Broncos,47,Colorado State Rams,56,72,75,3,116.70,115.40,1.30,100.30,101.00,0.70,65.93,66.25,0.32,52.91,54.89,1.98,2.13,2.41,0.28,16.4,14.4,2,0,1
USC Trojans,60,Nebraska Cornhuskers,53,78,73,5,116.70,113.20,3.50,104.20,97.60,6.60,68.62,67.55,1.07,54.22,51.57,2.65,2.53,2.79,0.26,12.5,15.6,3.1,1,0
Kansas State Wildcats,64,Baylor Bears,21,62,70,8,111.60,121.10,9.50,99.40,100.80,1.40,67.53,65.38,2.15,51.30,52.05,0.74,2.55,2.72,0.17,12.2,20.3,8.1,0,1
Maryland Terrapins,15,Illinois Fighting Illini,22,91,70,21,118.50,121.90,3.40,93.70,97.70,4.00,70.08,71.57,1.49,54.50,52.13,2.38,2.14,1.07,1.07,24.8,24.2,0.6,1,0
Michigan Wolverines,33,Purdue Boilermakers,16,64,91,27,117.10,124.10,7.00,96.00,99.50,3.50,69.84,65.39,4.45,55.62,56.57,0.95,2.24,1.73,0.51,21.1,24.6,3.5,0,1
Villanova Wildcats,41,Marquette Golden Eagles,18,74,87,13,119.70,118.30,1.40,104.60,95.70,8.90,63.20,67.56,4.36,55.41,52.26,3.15,2.87,2.05,0.82,15.1,22.6,7.5,0,1
Penn State Nittany Lions,59,Iowa Hawkeyes,7,75,76,1,114.70,118.10,3.40,102.20,107.00,4.80,70.01,70.01,0.00,53.68,56.34,2.65,2.49,1.77,0.72,12.5,11.1,1.4,0,1
Kentucky Wildcats,14,Vanderbilt Commodores,55,69,74,5,125.30,119.90,5.40,100.90,102.10,1.20,70.82,69.40,1.42,56.17,52.27,3.90,3.09,2.39,0.70,24.4,17.8,6.6,0,1
Houston Cougars,2,Kansas Jayhawks,11,92,86,6,124.90,115.40,9.50,89.50,92.20,2.70,61.18,68.76,7.58,53.21,53.14,0.07,2.63,3.62,0.98,35.4,23.2,12.2,1,0
Oklahoma Sooners,51,Arkansas Razorbacks,43,65,62,3,118.40,111.80,6.60,101.80,95.00,6.80,68.74,69.16,0.42,54.78,52.28,2.50,2.31,1.54,0.77,16.6,16.8,0.2,1,0
Cincinnati Bearcats,38,BYU Cougars,24,52,80,28,112.60,123.50,10.90,96.50,101.20,4.70,65.54,67.28,1.75,51.79,57.79,6.00,2.21,1.92,0.29,16.1,22.3,6.2,0,1
Texas A&M Aggies,23,Texas Longhorns,34,69,70,1,115.90,116.70,0.80,93.00,100.70,7.70,66.77,67.42,0.64,47.60,52.90,5.30,2.97,2.85,0.12,22.9,16,6.9,0,1
Georgia Bulldogs,39,Florida Gators,6,59,89,30,115.50,126.90,11.40,96.60,93.00,3.60,66.79,69.49,2.69,52.49,54.40,1.90,1.87,2.41,0.55,18.9,33.9,15,0,1
Baylor Bears,21,Utah Utes,58,76,61,15,121.10,113.60,7.50,100.80,102.00,1.20,65.38,68.82,3.44,52.05,52.58,0.53,2.72,2.04,0.69,20.3,11.6,8.7,1,0
West Virginia Mountaineers,48,Kansas State Wildcats,64,60,73,13,110.20,111.60,1.40,94.60,99.40,4.80,64.38,67.53,3.14,49.97,51.30,1.33,2.14,2.55,0.41,15.6,12.2,3.4,0,1
Tennessee Volunteers,4,Auburn Tigers,3,51,53,2,118.60,130.70,12.10,87.20,93.10,5.90,63.93,68.56,4.64,52.49,56.05,3.56,2.92,2.79,0.14,31.4,37.6,6.2,0,1
Maryland Terrapins,15,Indiana Hoosiers,52,79,78,1,118.50,115.40,3.10,93.70,98.80,5.10,70.08,68.38,1.70,54.50,52.13,2.37,2.14,2.27,0.12,24.8,16.6,8.2,1,0
Nebraska Cornhuskers,53,Wisconsin Badgers,19,55,83,28,113.20,124.00,10.80,97.60,97.30,0.30,67.55,67.70,0.15,51.57,54.95,3.38,2.79,2.62,0.16,15.6,26.7,11.1,0,1
Northwestern Wildcats,46,Illinois Fighting Illini,22,74,83,9,115.00,121.90,6.90,98.40,97.70,0.70,64.86,71.57,6.71,50.09,52.13,2.04,2.28,1.07,1.21,16.6,24.2,7.6,0,1
UCLA Bruins,26,USC Trojans,60,82,76,6,116.50,116.70,0.20,95.00,104.20,9.20,64.91,68.62,3.71,52.94,54.22,1.28,2.23,2.53,0.30,21.5,12.5,9,1,0
Penn State Nittany Lions,59,Michigan Wolverines,33,72,76,4,114.70,117.10,2.40,102.20,96.00,6.20,70.01,69.84,0.17,53.68,55.62,1.93,2.49,2.24,0.25,12.5,21.1,8.6,0,1
Iowa Hawkeyes,7,Ohio State Buckeyes,35,65,82,17,118.10,118.10,0.00,107.00,98.60,8.40,70.01,67.51,2.50,56.34,53.70,2.63,1.77,2.16,0.39,11.1,19.5,8.4,0,1
Iowa State Cyclones,62,Arizona Wildcats,10,75,86,11,119.50,120.20,0.70,93.10,95.00,1.90,68.94,70.28,1.34,54.22,52.14,2.08,2.82,2.72,0.10,26.4,25.2,1.2,0,1
Cincinnati Bearcats,38,Utah Utes,58,66,69,3,112.60,113.60,1.00,96.50,102.00,5.50,65.54,68.82,3.29,51.79,52.58,0.79,2.21,2.04,0.18,16.1,11.6,4.5,0,1
Kentucky Wildcats,14,Tennessee Volunteers,4,78,73,5,125.30,118.60,6.70,100.90,87.20,13.70,70.82,63.93,6.89,56.17,52.49,3.68,3.09,2.92,0.16,24.4,31.4,7,1,0
Marquette Golden Eagles,18,Butler Bulldogs,61,78,69,9,118.30,116.70,1.60,95.70,105.20,9.50,67.56,67.87,0.32,52.26,53.25,0.98,2.05,2.89,0.84,22.6,11.5,11.1,1,0
North Carolina Tar Heels,27,Pittsburgh Panthers,50,65,73,8,119.20,117.20,2.00,102.00,103.10,1.10,70.94,66.31,4.63,54.26,52.53,1.73,2.24,2.72,0.47,17.2,14.1,3.1,0,1
Baylor Bears,21,BYU Cougars,24,89,93,4,121.10,123.50,2.40,100.80,101.20,0.40,65.38,67.28,1.90,52.05,57.79,5.75,2.72,1.92,0.80,20.3,22.3,2,0,1
Oklahoma Sooners,51,Texas A&M Aggies,23,68,75,7,118.40,115.90,2.50,101.80,93.00,8.80,68.74,66.77,1.96,54.78,47.60,7.18,2.31,2.97,0.66,16.6,22.9,6.3,0,1
Houston Cougars,2,West Virginia Mountaineers,48,63,49,14,124.90,110.20,14.70,89.50,94.60,5.10,61.18,64.38,3.20,53.21,49.97,3.24,2.63,2.14,0.49,35.4,15.6,19.8,1,0
Wisconsin Badgers,19,Maryland Terrapins,15,68,76,8,124.00,118.50,5.50,97.30,93.70,3.60,67.70,70.08,2.38,54.95,54.50,0.45,2.62,2.14,0.48,26.7,24.8,1.9,0,1
