team1,team1_bpi,team2,team2_bpi,team1_points,team2_points,points_difference,offensive_efficiency_team1,offensive_efficiency_team2,offensive_efficiency_difference,defensive_efficiency_team1,defensive_efficiency_team2,defensive_efficiency_difference,team1_tempo,team2_tempo,tempo_difference,team1_efgpct,team2_efgpct,efgpct_difference,team1_experience,team2_experience,experience_difference,team1_rating,team2_rating,rating_difference,team1_winner,team2_winner
Iowa Hawkeyes,63,Maryland Terrapins,13,75,101,26,118.10,118.50,0.40,107.00,93.70,13.30,70.01,70.08,0.07,56.34,54.50,1.83,1.77,2.14,0.37,11.1,24.8,13.7,0,1
Arizona Wildcats,10,Baylor Bears,21,74,67,7,120.20,121.10,0.90,95.00,100.80,5.80,70.28,65.38,4.90,52.14,52.05,0.09,2.72,2.72,0.00,25.2,20.3,4.9,1,0
Oklahoma Sooners,50,Florida Gators,4,63,85,22,118.40,126.90,8.50,101.80,93.00,8.80,68.74,69.49,0.75,54.78,54.40,0.38,2.31,2.41,0.10,16.6,33.9,17.3,0,1
Texas A&M Aggies,23,Mississippi State Bulldogs,36,54,70,16,115.90,119.10,3.20,93.00,98.70,5.70,66.77,67.92,1.14,47.60,51.98,4.38,2.97,2.27,0.69,22.9,20.4,2.5,0,1
Texas Tech Red Raiders,8,TCU Horned Frogs,62,66,69,3,124.30,107.10,17.20,96.70,97.40,0.70,65.85,66.93,1.08,55.64,47.58,8.06,2.67,1.94,0.73,27.6,9.7,17.9,0,1
Illinois Fighting Illini,22,Wisconsin Badgers,19,74,95,21,121.90,124.00,2.10,97.70,97.30,0.40,71.57,67.70,3.87,52.13,54.95,2.82,1.07,2.62,1.55,24.2,26.7,2.5,0,1
Purdue Boilermakers,16,Michigan State Spartans,11,66,75,9,124.10,118.10,6.00,99.50,91.20,8.30,65.39,67.80,2.41,56.57,50.96,5.61,1.73,1.62,0.12,24.6,26.9,2.3,0,1
Kansas Jayhawks,12,BYU Cougars,24,57,91,34,115.40,123.50,8.10,92.20,101.20,9.00,68.76,67.28,1.48,53.14,57.79,4.66,3.62,1.92,1.70,23.2,22.3,0.9,0,1
Arkansas Razorbacks,43,Auburn Tigers,3,60,67,7,111.80,130.70,18.90,95.00,93.10,1.90,69.16,68.56,0.60,52.28,56.05,3.77,1.54,2.79,1.25,16.8,37.6,20.8,0,1
Alabama Crimson Tide,6,Missouri Tigers,31,98,110,12,127.30,126.20,1.10,97.90,100.40,2.50,75.00,68.31,6.69,56.57,56.80,0.23,2.99,2.64,0.35,29.4,25.8,3.6,0,1
Vanderbilt Commodores,55,Kentucky Wildcats,14,61,82,21,119.90,125.30,5.40,102.10,100.90,1.20,69.40,70.82,1.42,52.27,56.17,3.90,2.39,3.09,0.70,17.8,24.4,6.6,0,1
